iter	Passed	Remaining
0	140	140727
1	141	70617
2	142	47240
3	142	35537
4	143	28528
5	143	23843
6	144	20546
7	145	18064
8	146	16110
9	146	14544
10	147	13267
11	148	12197
12	148	11293
13	149	10516
14	149	9844
15	150	9254
16	151	8771
17	153	8366
18	154	7974
19	155	7598
20	155	7258
21	156	6947
22	156	6668
23	157	6419
24	158	6188
25	159	5969
26	160	5766
27	160	5576
28	161	5400
29	161	5235
30	162	5078
31	163	4950
32	164	4814
33	164	4686
34	165	4567
35	166	4456
36	167	4347
37	167	4245
38	168	4150
39	169	4056
40	170	3986
41	171	3905
42	171	3824
43	172	3748
44	173	3674
45	173	3602
46	174	3532
47	174	3467
48	175	3408
49	176	3351
50	177	3303
51	178	3249
52	178	3195
53	179	3143
54	180	3094
55	180	3046
56	181	2999
57	182	2960
58	183	2918
59	183	2881
60	185	2854
61	186	2815
62	186	2776
63	187	2738
64	187	2702
65	188	2674
66	189	2642
67	190	2609
68	191	2577
69	191	2545
70	192	2514
71	192	2485
72	193	2456
73	194	2432
74	195	2406
75	195	2380
76	196	2355
77	197	2329
78	197	2305
79	198	2280
80	198	2255
81	199	2231
82	199	2206
83	200	2183
84	201	2164
85	201	2143
86	202	2122
87	202	2102
88	203	2082
89	203	2062
90	204	2043
91	205	2023
92	205	2004
93	206	1986
94	206	1969
95	207	1952
96	207	1935
97	208	1918
98	208	1901
99	209	1884
100	209	1869
101	210	1853
102	211	1838
103	211	1823
104	212	1807
105	212	1793
106	213	1782
107	214	1770
108	214	1757
109	215	1743
110	216	1730
111	216	1718
112	217	1705
113	217	1692
114	218	1680
115	218	1667
116	219	1657
117	220	1646
118	220	1635
119	221	1623
120	221	1612
121	222	1600
122	222	1589
123	223	1579
124	224	1568
125	224	1557
126	225	1548
127	226	1540
128	226	1531
129	227	1521
130	227	1511
131	228	1502
132	228	1492
133	229	1483
134	230	1473
135	230	1464
136	231	1455
137	231	1447
138	232	1439
139	233	1431
140	233	1422
141	233	1413
142	234	1405
143	235	1397
144	235	1389
145	236	1381
146	236	1373
147	237	1365
148	237	1357
149	238	1352
150	239	1344
151	239	1337
152	240	1330
153	240	1323
154	241	1315
155	241	1308
156	242	1301
157	242	1294
158	243	1287
159	243	1280
160	244	1274
161	245	1269
162	246	1263
163	246	1257
164	247	1251
165	247	1244
166	248	1238
167	248	1232
168	249	1226
169	249	1220
170	250	1215
171	251	1209
172	251	1203
173	252	1198
174	252	1192
175	253	1186
176	254	1181
177	254	1175
178	255	1170
179	255	1164
180	256	1159
181	256	1154
182	257	1149
183	258	1144
184	258	1139
185	259	1134
186	259	1128
187	260	1123
188	260	1118
189	261	1113
190	261	1108
191	262	1104
192	262	1099
193	263	1095
194	264	1090
195	264	1086
196	265	1081
197	265	1076
198	266	1072
199	266	1067
200	267	1063
201	268	1058
202	268	1054
203	269	1049
204	270	1047
205	270	1044
206	271	1040
207	272	1035
208	272	1031
209	273	1028
210	273	1024
211	274	1019
212	274	1015
213	275	1011
214	276	1008
215	276	1005
216	277	1001
217	278	997
218	278	993
219	279	989
220	279	986
221	280	982
222	280	978
223	281	975
224	282	972
225	283	969
226	283	965
227	284	962
228	284	958
229	285	954
230	285	951
231	286	947
232	286	944
233	287	940
234	287	936
235	288	934
236	289	931
237	289	928
238	290	924
239	290	921
240	291	917
241	292	914
242	292	911
243	293	908
244	293	904
245	294	901
246	294	898
247	295	895
248	296	892
249	296	889
250	297	886
251	297	883
252	298	880
253	298	877
254	299	874
255	299	870
256	300	867
257	300	865
258	301	862
259	302	859
260	302	856
